"ksouth_1","ksouth_2","ksouth_3","ksouth_4","ksouth_5","ksouth_6","ksouth_7","ksouth_8","ksouth_9","ksouth_10","ksouth_11","ksouth_12","latitude"
1.06,0.95,1.04,1,1.02,0.99,1.02,1.03,1,1.05,1.03,1.06,5
1.08,0.97,1.05,0.99,1.01,0.96,1,1.01,1,1.06,1.05,1.1,10
1.12,0.98,1.05,0.98,0.98,0.94,0.97,1,1,1.07,1.07,1.12,15
1.14,1,1.05,0.97,0.96,0.91,0.95,0.99,1,1.08,1.09,1.15,20
1.17,1.01,1.05,0.96,0.94,0.88,0.93,0.98,1,1.1,1.11,1.18,25
1.2,1.03,1.06,0.95,0.92,0.85,0.9,0.96,1,1.12,1.14,1.21,30
1.23,1.04,1.06,0.94,0.89,0.82,0.87,0.94,1,1.13,1.17,1.25,35
1.27,1.06,1.07,0.93,0.86,0.78,0.84,0.92,1,1.15,1.2,1.29,40
1.28,1.07,1.07,0.92,0.85,0.76,0.82,0.92,1,1.16,1.22,1.31,42
1.3,1.08,1.07,0.92,0.83,0.74,0.81,0.91,0.99,1.17,1.23,1.33,44
1.32,1.1,1.07,0.91,0.82,0.72,0.79,0.9,0.99,1.17,1.25,1.35,46
1.34,1.11,1.08,0.9,0.8,0.7,0.76,0.89,0.99,1.18,1.27,1.37,48
1.37,1.12,1.08,0.89,0.77,0.67,0.74,0.88,0.99,1.19,1.29,1.41,50
