station,station_id,date,precipitation,tmin,tmax,tavg,solar
TX_Edinburg_17_NNE,12987,2012-01-01,0.0,10.7,21.5,16.1,4.35
TX_Edinburg_17_NNE,12987,2012-01-02,0.0,4.0,18.9,11.4,16.79
TX_Edinburg_17_NNE,12987,2012-01-03,0.0,0.0,20.8,10.4,16.59
TX_Edinburg_17_NNE,12987,2012-01-04,0.0,8.8,26.3,17.5,14.75
TX_Edinburg_17_NNE,12987,2012-01-05,0.0,12.3,22.2,17.3,9.46
TX_Edinburg_17_NNE,12987,2012-01-06,0.0,11.7,24.8,18.2,12.41
TX_Edinburg_17_NNE,12987,2012-01-07,0.0,10.2,28.6,19.4,15.67
TX_Edinburg_17_NNE,12987,2012-01-08,0.0,16.0,27.8,21.9,8.83
TX_Edinburg_17_NNE,12987,2012-01-09,0.0,10.9,24.1,17.5,8.83
TX_Edinburg_17_NNE,12987,2012-01-10,0.0,6.0,21.8,13.9,16.45
TX_Edinburg_17_NNE,12987,2012-01-11,0.0,3.5,28.1,15.8,16.97
TX_Edinburg_17_NNE,12987,2012-01-12,0.0,2.8,14.6,8.7,14.08
TX_Edinburg_17_NNE,12987,2012-01-13,0.0,-0.5,15.7,7.6,11.01
TX_Edinburg_17_NNE,12987,2012-01-14,0.0,1.9,21.3,11.6,14.51
TX_Edinburg_17_NNE,12987,2012-01-15,0.0,14.0,23.5,18.8,3.23
TX_Edinburg_17_NNE,12987,2012-01-16,0.0,16.2,28.8,22.5,13.0
TX_Edinburg_17_NNE,12987,2012-01-17,0.0,19.8,31.0,25.4,14.46
TX_Edinburg_17_NNE,12987,2012-01-18,0.0,11.8,19.8,15.8,6.65
TX_Edinburg_17_NNE,12987,2012-01-19,0.0,15.3,26.6,21.0,13.29
TX_Edinburg_17_NNE,12987,2012-01-20,0.0,19.0,30.4,24.7,12.36
TX_Edinburg_17_NNE,12987,2012-01-21,0.0,18.7,27.5,23.1,8.34
TX_Edinburg_17_NNE,12987,2012-01-22,0.0,17.8,28.5,23.1,9.26
TX_Edinburg_17_NNE,12987,2012-01-23,0.2,17.3,25.2,21.3,5.86
TX_Edinburg_17_NNE,12987,2012-01-24,0.0,19.3,27.5,23.4,6.72
TX_Edinburg_17_NNE,12987,2012-01-25,0.0,14.2,29.1,21.6,15.64
TX_Edinburg_17_NNE,12987,2012-01-26,0.0,8.3,26.3,17.3,18.13
TX_Edinburg_17_NNE,12987,2012-01-27,0.0,3.7,27.5,15.6,18.4
TX_Edinburg_17_NNE,12987,2012-01-28,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
TX_Edinburg_17_NNE,12987,2012-01-29,0.0,8.0,21.6,14.8,9.61
TX_Edinburg_17_NNE,12987,2012-01-30,2.0,11.3,20.7,16.0,5.05
TX_Edinburg_17_NNE,12987,2012-01-31,0.5,16.1,26.3,21.2,8.24
TX_Edinburg_17_NNE,12987,2012-02-01,0.0,17.6,28.0,22.8,8.88
TX_Edinburg_17_NNE,12987,2012-02-02,0.0,18.5,26.4,22.5,7.13
TX_Edinburg_17_NNE,12987,2012-02-03,0.0,21.1,30.9,26.0,13.73
