station,station_id,date,precipitation,tmin,tmax,tavg,solar
TX_Edinburg_17_NNE,12987,2011-01-01,0.0,6.5,21.1,13.8,16.82
TX_Edinburg_17_NNE,12987,2011-01-02,0.0,3.6,21.3,12.4,16.03
TX_Edinburg_17_NNE,12987,2011-01-03,0.0,11.8,21.2,16.5,4.34
TX_Edinburg_17_NNE,12987,2011-01-04,0.0,18.0,28.4,23.2,7.53
TX_Edinburg_17_NNE,12987,2011-01-05,0.0,13.4,24.8,19.1,8.39
TX_Edinburg_17_NNE,12987,2011-01-06,0.0,7.7,26.0,16.8,16.07
TX_Edinburg_17_NNE,12987,2011-01-07,0.0,5.6,27.1,16.4,16.41
TX_Edinburg_17_NNE,12987,2011-01-08,0.0,16.0,27.3,21.7,8.32
TX_Edinburg_17_NNE,12987,2011-01-09,15.0,10.3,26.1,18.2,18.12
TX_Edinburg_17_NNE,12987,2011-01-10,0.0,9.2,27.1,18.1,16.75
TX_Edinburg_17_NNE,12987,2011-01-11,0.0,6.0,13.8,9.9,3.02
TX_Edinburg_17_NNE,12987,2011-01-12,0.0,5.0,6.9,5.9,2.38
TX_Edinburg_17_NNE,12987,2011-01-13,0.0,3.3,6.8,5.0,1.83
TX_Edinburg_17_NNE,12987,2011-01-14,2.6,5.9,12.0,8.9,4.56
TX_Edinburg_17_NNE,12987,2011-01-15,25.1,11.0,18.1,14.5,3.72
TX_Edinburg_17_NNE,12987,2011-01-16,30.0,11.7,20.9,16.3,11.29
TX_Edinburg_17_NNE,12987,2011-01-17,0.0,10.4,19.0,14.7,5.38
TX_Edinburg_17_NNE,12987,2011-01-18,0.2,11.1,30.2,20.6,15.81
TX_Edinburg_17_NNE,12987,2011-01-19,0.0,7.0,23.5,15.3,14.13
TX_Edinburg_17_NNE,12987,2011-01-20,0.0,6.9,23.6,15.2,6.49
TX_Edinburg_17_NNE,12987,2011-01-21,0.0,0.8,15.0,7.9,18.92
TX_Edinburg_17_NNE,12987,2011-01-22,0.0,-0.6,18.9,9.2,19.71
TX_Edinburg_17_NNE,12987,2011-01-23,0.0,8.5,24.7,16.6,8.79
TX_Edinburg_17_NNE,12987,2011-01-24,0.0,9.5,20.0,14.8,11.31
TX_Edinburg_17_NNE,12987,2011-01-25,0.0,5.6,21.3,13.5,18.52
TX_Edinburg_17_NNE,12987,2011-01-26,0.0,2.2,20.4,11.3,17.96
TX_Edinburg_17_NNE,12987,2011-01-27,0.0,8.0,21.3,14.6,11.57
