date,LAT,LON,sm5,sm100
2012-01-01,26.53,-98.06,0.126,0.15
2012-01-02,26.53,-98.06,0.121,0.15
2012-01-03,26.53,-98.06,0.117,0.151
2012-01-04,26.53,-98.06,0.117,0.15
2012-01-05,26.53,-98.06,0.117,0.151
2012-01-06,26.53,-98.06,0.115,0.15
2012-01-07,26.53,-98.06,0.115,0.15
2012-01-08,26.53,-98.06,0.114,0.151
2012-01-09,26.53,-98.06,0.113,0.151
2012-01-10,26.53,-98.06,0.11,0.151
2012-01-11,26.53,-98.06,0.106,0.15
2012-01-12,26.53,-98.06,0.104,0.152
2012-01-13,26.53,-98.06,0.101,0.151
2012-01-14,26.53,-98.06,0.099,0.151
2012-01-15,26.53,-98.06,0.1,0.15
2012-01-16,26.53,-98.06,0.1,0.15
2012-01-17,26.53,-98.06,0.1,0.15
2012-01-18,26.53,-98.06,0.097,0.151
2012-01-19,26.53,-98.06,0.095,0.151
2012-01-20,26.53,-98.06,0.094,0.152
2012-01-21,26.53,-98.06,0.093,0.153
2012-01-22,26.53,-98.06,0.092,0.152
2012-01-23,26.53,-98.06,0.09,0.154
2012-01-24,26.53,-98.06,0.09,0.153
2012-01-25,26.53,-98.06,0.09,0.154
2012-01-26,26.53,-98.06,0.086,0.154
2012-01-27,26.53,-98.06,0.082,0.155
2012-01-28,26.53,-98.06,,
2012-01-29,26.53,-98.06,0.079,0.154
2012-01-30,26.53,-98.06,0.078,0.154
2012-01-31,26.53,-98.06,0.079,0.154
2012-02-01,26.53,-98.06,0.081,0.153
2012-02-02,26.53,-98.06,0.082,0.154
2012-02-03,26.53,-98.06,0.083,0.154
2012-02-04,26.53,-98.06,0.084,0.154
2012-02-05,26.53,-98.06,0.153,0.154
2012-02-06,26.53,-98.06,0.156,0.155
2012-02-07,26.53,-98.06,0.15,0.153
2012-02-08,26.53,-98.06,0.192,0.153
2012-02-09,26.53,-98.06,0.177,0.152
2012-02-10,26.53,-98.06,0.171,0.152
2012-02-11,26.53,-98.06,0.162,0.151
2012-02-12,26.53,-98.06,0.162,0.151
2012-02-13,26.53,-98.06,0.173,0.151
2012-02-14,26.53,-98.06,0.156,0.15
2012-02-15,26.53,-98.06,0.162,0.15
2012-02-16,26.53,-98.06,0.158,0.151
2012-02-17,26.53,-98.06,0.168,0.152
2012-02-18,26.53,-98.06,0.167,0.152
2012-02-19,26.53,-98.06,0.155,0.153
2012-02-20,26.53,-98.06,0.151,0.153
2012-02-21,26.53,-98.06,0.148,0.153
2012-02-22,26.53,-98.06,0.147,0.153
2012-02-23,26.53,-98.06,0.144,0.153
2012-02-24,26.53,-98.06,0.141,0.154
2012-02-25,26.53,-98.06,0.169,0.154
2012-02-26,26.53,-98.06,0.171,0.154
2012-02-27,26.53,-98.06,0.169,0.154
2012-02-28,26.53,-98.06,0.165,0.155
2012-02-29,26.53,-98.06,0.159,0.154
2012-03-01,26.53,-98.06,0.154,0.155
2012-03-02,26.53,-98.06,0.15,0.155
2012-03-03,26.53,-98.06,0.144,0.156
2012-03-04,26.53,-98.06,0.137,0.157
2012-03-05,26.53,-98.06,0.133,0.157
2012-03-06,26.53,-98.06,0.13,0.158
2012-03-07,26.53,-98.06,0.128,0.158
2012-03-08,26.53,-98.06,0.126,0.158
2012-03-09,26.53,-98.06,0.12,0.159
2012-03-10,26.53,-98.06,0.118,0.159
2012-03-11,26.53,-98.06,0.122,0.159
2012-03-12,26.53,-98.06,0.124,0.159
2012-03-13,26.53,-98.06,0.124,0.158
2012-03-14,26.53,-98.06,0.122,0.16
2012-03-15,26.53,-98.06,0.12,0.16
2012-03-16,26.53,-98.06,0.117,0.161
2012-03-17,26.53,-98.06,0.114,0.162
2012-03-18,26.53,-98.06,0.111,0.162
2012-03-19,26.53,-98.06,0.109,0.163
